mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position
0.001,1,0.05,1,38,0.3044876132004859,1.8656253871100241,47.80965681851908
0.001,1,0.05,1,39,0.3044876132004859,3.059289369717109,122.35704310100215
0.001,1,0.05,1,40,0.3044876132004859,3.059289369717109,50.04050764530188
0.001,1,0.05,1,41,0.3044876132004859,3.059289369717109,104.71743425550343
0.001,1,0.05,1,42,0.3044876132004859,3.059289369717109,65.27926020407133
0.001,1,0.05,1,43,0.3044876132004859,3.059289369717109,102.57813253951576
0.001,1,0.05,1,44,0.3044876132004859,3.059289369717109,52.26928640942675
0.001,1,0.05,1,45,0.3044876132004859,3.059289369717109,83.84636567317848
0.001,1,0.05,1,46,0.3044876132004859,1.8656253871100241,39.563923965899285
0.001,1,0.05,1,47,0.3044876132004859,3.059289369717109,112.83612215345092
0.001,1,0.05,1,48,0.3044876132004859,1.8656253871100241,46.56152609502223
0.001,1,0.05,1,49,0.3044876132004859,3.059289369717109,85.4092366395461
0.001,1,0.05,1,50,0.3044876132004859,3.059289369717109,101.88095034242153
0.001,1,0.05,1,51,0.3044876132004859,3.059289369717109,106.20427238454394
0.001,1,0.05,1,52,0.3044876132004859,3.059289369717109,92.28776460599913
0.001,1,0.05,1,53,0.3044876132004859,1.8656253871100241,49.80717157398057
0.001,1,0.05,1,54,0.3044876132004859,3.059289369717109,102.66560646054985
0.001,1,0.05,1,55,0.3044876132004859,1.8656253871100241,70.90906661692473
0.001,1,0.05,1,56,0.3044876132004859,1.8656253871100241,74.6377063639176
0.001,1,0.05,1,57,0.3044876132004859,3.059289369717109,94.36192209540127
0.001,1,0.05,1,58,0.3044876132004859,1.8656253871100241,47.775096761543374
0.001,1,0.05,7,1,0.17984623652055887,2.6213788273263425,48.89632307866063
0.001,1,0.05,7,2,0.17984623652055887,2.6213788273263425,56.7538395757969
0.001,1,0.05,7,3,0.17984623652055887,2.6213788273263425,61.51221207262077
.001,0,0.2,1,1,0.6269816928641947,2.423331124694194,96.52992791583141
0.001,0,0.2,1,2,0.6269816928641947,2.423331124694194,69.9589602142034
0.001,0,0.2,1,3,0.6269816928641947,2.423331124694194,89.5872555284339
0.001,0,0.2,1,4,0.6269816928641947,2.423331124694194,117.16756960059182
0.001,0,0.2,1,5,0.6269816928641947,2.423331124694194,91.59227423944324
0.001,0,0.2,1,6,0.6269816928641947,2.423331124694194,95.06582612037762
0.001,0,0.2,1,7,0.6269816928641947,2.423331124694194,104.74033663962771
0.001,0,0.2,1,8,0.6269816928641947,2.423331124694194,96.9436765582156
0.001,0,0.2,1,9,0.6269816928641947,2.423331124694194,111.42646519017283
0.001,0,0.2,1,10,0.6269816928641947,2.423331124694194,86.56781158578504
0.001,0,0.2,1,11,0.6269816928641947,2.423331124694194,85.1810474349999
0.001,0,0.2,1,12,0.6269816928641947,2.423331124694194,57.20852226726984
0.001,0,0.2,1,13,0.6269816928641947,2.423331124694194,72.31351244251371
0.001,0,0.2,1,14,0.6269816928641947,2.423331124694194,87.02640632174804
0.001,0,0.2,1,15,0.6269816928641947,2.423331124694194,100.73162691687712
0.001,0,0.2,1,16,0.6269816928641947,2.423331124694194,82.61920413505855
0.001,0,0.2,1,17,0.6269816928641947,2.423331124694194,85.04353895639626
0.001,0,0.2,1,18,0.6269816928641947,2.423331124694194,110.89633135658113
0.001,0,0.2,1,19,0.6269816928641947,2.423331124694194,103.31477660382185
0.001,0,0.2,1,20,0.6269816928641947,2.423331124694194,112.82981480915052
0.001,0,0.2,1,21,0.6269816928641947,2.423331124694194,86.08828906712834
0.001,0,0.2,1,22,0.6269816928641947,2.423331124694194,80.58293640646019
0.001,0,0.2,1,23,0.6269816928641947,2.423331124694194,100.3805724354658
0.001,0,0.2,1,24,0.6269816928641947,2.423331124694194,73.4432871051723
0.001,0,0.2,1,25,0.6269816928641947,2.423331124694194,73.15262028390437
0.001,0,0.2,1,26,0.6269816928641947,2.423331124694194,75.81080195507272
0.001,0,0.2,1,27,0.6269816928641947,2.423331124694194,81.18250054126622
0.001,0,0.2,1,28,0.6269816928641947,2.423331124694194,85.58802463175441
0.001,0,0.2,1,29,0.6269816928641947,2.423331124694194,75.65511182409466
0.001,0,0.2,1,30,0.6269816928641947,2.423331124694194,87.97877182483387
0.001,0,0.2,1,31,0.6269816928641947,2.423331124694194,96.0279064581786
0.001,0,0.2,1,32,0.6269816928641947,2.423331124694194,90.69557995252457
