mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position
0.001,0.5,0.05,1,35,0.2485443475419935,2.696825624812236,93.76125689328094
0.001,0.5,0.05,1,36,0.2485443475419935,2.696825624812236,89.72528797644738
0.001,0.5,0.05,1,37,0.2485443475419935,2.696825624812236,105.45117595581628
0.001,0.5,0.05,1,38,0.2485443475419935,2.696825624812236,83.53908669509548
0.001,0.5,0.05,1,39,0.2485443475419935,2.696825624812236,112.99114172085905
0.001,0.5,0.05,2,1,0.7932786406416203,3.0404708172334103,126.01840076728652
0.001,0.5,0.05,2,2,0.7932786406416203,3.0404708172334103,126.5868506735444
0.001,0.5,0.05,2,3,0.7932786406416203,3.0404708172334103,128.01402659441186
0.001,0.5,0.05,2,4,0.7932786406416203,3.0404708172334103,127.01726142938129
0.001,0.5,0.05,2,5,0.7932786406416203,3.0404708172334103,127.82598308574094
0.001,0.5,0.05,2,6,0.7932786406416203,2.928471960335145,136.22975970586506
0.001,0.5,0.05,2,7,0.7932786406416203,3.0404708172334103,126.72946182490253
0.001,0.5,0.05,2,8,0.7932786406416203,3.0404708172334103,118.85133291101121
0.001,0.5,0.05,2,9,0.7932786406416203,3.0404708172334103,126.68677116223016
0.001,0.5,0.05,2,10,0.7932786406416203,3.0404708172334103,127.01726142938129
0.001,0.5,0.05,2,11,0.7932786406416203,3.0404708172334103,127.01726142938129
0.001,0.5,0.05,2,12,0.7932786406416203,3.0404708172334103,140.01778087213373
0.001,0.5,0.05,2,13,0.7932786406416203,3.0404708172334103,127.01726142938129
0.001,0.5,0.05,2,14,0.7932786406416203,3.0404708172334103,127.01726142938129
0.001,0.5,0.05,2,15,0.7932786406416203,3.0404708172334103,130.11656398937046
0.001,0.5,0.05,2,16,0.7932786406416203,3.0404708172334103,127.01726142938129
0.001,0.5,0.05,2,17,7.4187776924221405,3.0404708172334103,125.15556276152456
0.001,0.5,0.05,2,18,2.998096704868539,3.0404708172334103,92.19005134085829
0.001,0.5,0.05,2,19,0.7932786406416203,3.0404708172334103,127.98306092920866
0.001,0.5,0.05,2,20,0.7932786406416203,3.0404708172334103,138.32165640458948
0.001,0.5,0.05,2,21,0.7932786406416203,3.0404708172334103,132.03192892661949
0.001,0.5,0.05,2,22,0.7932786406416203,3.0404708172334103,126.05530177859023
0.001,0.5,0.05,2,23,0.7932786406416203,3.0404708172334103,126.31185764680052
0.001,0.5,0.05,2,24,0.7932786406416203,3.0404708172334103,127.28452402941684
