Mass (kg),autocorrelation,suitable habitat,run,step mean,mean divergence,population size,mean resources,mean regrowth,mean x
0.001,1,0.5,0,3.4855573771188366,2.958840300742398,707,198.91561774609676,171.43958651266436,48.043777540623886
0.001,1,0.5,1,3.336588265146219,2.8029038079491815,612,200.86013966914544,163.28446681748244,48.126543995436045
0.001,1,0.5,2,2.780092195431338,3.01667447846519,666,201.23885352707825,169.99641085591725,52.297292803959536
0.001,1,0.5,3,2.445083177320246,2.7929609579236327,927,200.60575751541248,170.66577796039567,66.05036137567811
0.001,1,0.5,4,2.4445952644932043,2.9659305617976446,805,199.52905438778123,162.6538259737083,67.78200066910009
0.001,1,0.5,5,2.354467363631339,2.861325112368758,820,202.88768607927966,173.37562573763577,69.90059377070503
0.001,1,0.5,6,2.9009227914639832,3.026805612088897,739,201.06348441167566,169.5378007775295,52.56791075583468
0.001,1,0.5,7,2.5842745299275562,2.817413332801865,818,199.69329123912246,160.76488274471353,80.98246756979299
0.001,1,0.5,8,2.1311887513296366,2.8839827764358255,759,201.0072671673743,170.5603357457405,69.93104459056237
0.001,0,0.9,0,5.058512802206832,2.7025341440005892,1344,358.0319528962476,177.41366356959898,70.07495300770549
0.001,0,0.9,1,4.736708520943294,2.540496692142812,1543,359.62611240622056,182.32014990289002,73.55895230288553
0.001,0,0.9,2,5.067831960555894,2.834807208291475,1197,360.605072548577,174.27980488529752,70.50370761226252
0.001,0,0.9,3,4.691742947629496,2.7540508995233073,1246,358.8250391229214,179.73104650395123,79.28073378560408
0.001,0,0.9,4,4.421689284301299,2.7303778619238104,1435,360.36196237981227,181.00608416129762,77.48823970713438
0.001,0,0.9,5,4.709470124708796,2.8224902340780478,1292,359.32003875297335,175.49493197454802,73.54828536190179
0.001,0,0.9,6,4.604327145647683,2.585692966953562,1292,358.13024327467286,177.85930858930038,77.51636776929146
0.001,0,0.9,7,5.193374594506099,2.685583258302961,1382,358.6024632352273,178.1852715795017,77.32305427602168
0.001,0,0.9,8,5.282258846602037,2.7499580943985564,1234,359.76153686368593,180.200316298587,73.39289147126125
0.001,0.5,0.9,0,4.154723397526149,2.6949227821819965,1303,359.8714814049534,179.7878918150576,79.51266966323823
0.001,0.5,0.9,1,4.687683176589793,2.48571780814918,1318,359.85727381218345,182.36520456561993,76.19133241647002
0.001,0.5,0.9,2,4.327482669555546,2.8945340163457924,1207,359.79565789700365,178.05285559959617,77.89117333300894
0.001,0.5,0.9,3,4.304696670111655,2.9487014148506288,1423,359.1002854813929,186.5722557882474,77.92504587274205
0.001,0.5,0.9,4,4.538711208637926,2.832341655086788,1341,361.8468216525826,179.9843696561848,77.16052381281632
0.001,0.5,0.9,5,4.3610143867271995,2.7499225233139413,1430,356.1370236869102,183.95713806162922,76.41438529860918
0.001,0.5,0.9,6,4.449236414476219,2.784493010295725,1179,355.6813584334211,179.77087164146593,75.65924511955133
0.001,0.5,0.9,7,4.5209214449188835,2.808640492129242,1496,359.44895180255276,182.58742724276624,63.189437458744074
0.001,0.5,0.9,8,4.011781302751487,2.8343158883691784,1648,359.73650315856224,180.66865372349486,68.20388265528237
0.001,1,0.9,0,4.586762207061698,2.7630788145071556,1250,359.1444282395467,180.9820475115059,73.95154120157703
0.001,1,0.9,1,4.355610677375104,2.8534885198259783,1392,358.4615250852164,181.1315393863524,71.30431281789039
0.001,1,0.9,2,4.493704652568754,2.78650581283829,1442,356.54084460397735,184.23311992520522,78.17182676052086
0.001,1,0.9,3,4.530811409424063,2.8301265643816467,1541,358.40680667525487,186.52114357090701,74.34641449888126
0.001,1,0.9,4,4.369511728012291,2.743906579211168,1286,357.3974068684657,181.62868742448558,78.72860210663016
0.001,1,0.9,5,4.456347311272146,2.7192792381156683,1421,358.3663339934127,182.1706487675889,72.83608033145694
0.001,1,0.9,6,4.261985982537459,2.90515673864465,1619,357.66006549820224,181.36741472665935,83.68687618107164
0.001,1,0.9,7,4.221995870574696,2.7623486022610533,1237,358.47068210829116,180.43319864653324,70.65592596150843
0.001,1,0.9,8,4.734045571773747,2.891935410771466,1321,360.3793005654325,179.8221951506925,75.11484911706123
